286	853	take out	hand	pomegranate	,fridge						She gets a pomegranate.	She gets a pomegranate.			She gets a pomegranate. 		The woman takes a pomegranate from the the refrigerator.	She grabs a pomegranate.	 She finds a pomegranate.. She gets a plate and bowl.. She washes the pomegranate in a bowl.	She chooses a pomegranate.. She rinses the pomegranate.	She took out pomegranate. She took out plate and bowl. She washed pomegranate	She gets the pomegranate.. She gets a bowl and a plate.. She rinses the pomegranate.			She takes out pomegranite. She takes out bowl
904	1336	take out	hand	bowl,plate	counter,cupboard		The woman takes out a pomegranate, a bowl, and a plate.		She gets a pomegranate, a bowl, and a plate.	Retrieve pomegranate, bowl, and plate.		She gets a plate and bowl.				The person takes out a pomegranate from the refrigerator and a plate and bowl from the cupboard.	The woman washes the pomegranate.								She takes out plate
1360	1413	close	hand		cupboard			Take out a pomegranate, a plate, and a small bowl.					Lady enters the kitchen, and searches for the fruit inside the fridge, after finding it she closes the fridge, opens a cupboard and finds a plate and bowl she can use for the pomegranate. She then dumps the excess water off the plate, places it on the counter, and starts to wash the pomegranate in the sink.	The woman takes a pomegranate out of the cabinet. 							She took out cutting board		The person takes out a plate.	The woman gathers supplies.	
1476	1582	fill	faucet	water	,bowl														She gets a cutting board and knives.	She gets all the needed equipment.	She took out knife	She gets a cutting board and knives.			She washes pomegranite
1599	1765	wash	hand	pomegranate	bowl																She cut off top of pomegranate				
1771	1924	pour	bowl	water	sink				She rinses the pomegranate. 			She rinses the pomegranate.			She rinses the pomegranate. 		The woman slices the ends off of the pomegranate.				She cut off bottom of pomegranate				
1943	1974	pour	bowl	water	sink		She washes the pomegranate.	Place the pomegranate in the small bowl and wash the pomegranate in the bowl, then drain out the water.		Wash pomegranate and bowl.	She rinses the pomegranate.			She washes the pomegranate.		The person washes the pomegranate.		She rinses the pomegranate.			She drained juice from pomegranate		The person takes out a pomegranate and places it in bowl.	She rinses the pomegranate in water.	She rolls up sleeves
2419	2578	take out	hand	cutting board	counter,drawer																		The person takes out a cutting board.		She takes out cutting board
2603	2652	close	hand		drawer				She gets out a cutting board.																
2667	2916	take out	hand	knife	cutting board,drawer				She gets out two knives. 		She get two knives and a cutting board.	She gets a cutting board and knife.	After using the bowl to wash the pomegranate, the then places it on the counter, rolls up here sleeves and pulls out two kitchen knifes and places then on the cutting board that she also pulled out.	She gathers some knives and a cutting board.		The person takes a chopping board and two knives out of the drawers.							The person takes out a knife.	The woman takes out a cutting board and some knives.	She takes out knife
3016	3082	pour	bowl	water	sink																				
3146	3194	move	hand	plate	counter																				
3210	3279	move	hand	pomegranate	bowl,cutting board			Take out a cutting board and two small knives.									The woman slices the pomegranate.		She cuts the pomegranate into pieces.	She divides the pomegranate. 		She cuts the pomegranate. 			
3313	3499	cut	knife	pomegranate	cutting board					Retrieve cutting board and knife.				The woman cuts off the tips of the pomegranate.		The person cuts off both ends of the pomegranate.							The person cuts the ends off of the pomegranate.		
3607	3634	move	hand	pomegranate	counter,cutting board		The woman slices the ends off the pomegranate.																	She removes the ends.	
3705	3865	cut	knife	pomegranate	cutting board																				
3865	3946	add	hand	pomegranate	bowl,cutting board					Remove ends from pomegranate and slice in half lengthwise over bowl.			She then takes the pomegranate and slices off the ends. She then beings to slice the pomegranate in half, when juice starts to come out of the pomegranate she places it over the bowl to catch the juice.												
3952	4144	cut	knife	pomegranate	bowl																				
4229	4265	take apart	hand	pomegranate					She cuts it in half. 									She cuts the pomegranate in half. 					The person cuts the pomegranate in half.		
4282	4652	shake	hand	pomegranate				Start cutting the pomegranate in half lengthwise and finish the cut in the bowl to catch the juice, then place on the plate.																	She cuts pomegranate in half. She took juice out of pomegranate
4655	4731	move	hand	pomegranate	,plate											The person cuts the pomegranate in half and lets the juice drain into the bowl.									
4754	4797	move	hand	pomegranate	cutting board,plate																				
4818	4926	cut	knife	pomegranate	cutting board								She then ensures that all the excess juice is in the bowl and places on half of the pomegranate on the plate and the other on the cutting board.												
4947	4987	take apart	hand	pomegranate																					
4987	5042	shake	hand	pomegranate																					
5043	5088	move	hand	pomegranate	,plate																				She cut up pomegramate
5101	5135	move	hand	pomegranate	cutting board,plate																				
5141	5234	cut	knife	pomegranate	cutting board																				
5246	5289	take apart	hand	pomegranate					She quarters it. 														The person cuts the pomegranate halves in half again lengthwise.		
5289	5444	shake	hand	pomegranate																					
5444	5489	move	hand	pomegranate	,plate		The woman slices the pomegranate into four pieces.				She cuts the pomegranate. 							She quarters the pomegranate.						The woman cuts the fruit into fourths.	
5507	5549	move	hand	pomegranate	counter,cutting board									The woman slices the pomegranate. 											
5611	5652	move	hand	pomegranate	cutting board,plate																				
5726	5825	cut	knife	pomegranate	cutting board								She then cuts those pieces of pomegranate into quarter slices, the cuts those quarter slices int halves.												
5893	5907	shake	hand	pomegranate																					
5907	5954	move	hand	pomegranate	,plate																				
5994	6031	move	hand	pomegranate	cutting board,plate																				
6075	6158	cut	knife	pomegranate	cutting board																				
6180	6223	take apart	hand	pomegranate								She cuts the pomegranate.													
6235	6290	shake	hand	pomegranate																					
6290	6333	move	hand	pomegranate	,plate										She cuts the pomegranate. 										
6386	6423	move	hand	cutting board	counter																				
6437	6472	move	hand	plate	counter																				
6472	6507	move	hand	bowl	counter									She then slices those pieces in half.		The person cuts the pomegranate halves into small sections.							The person cuts the pomegranate quarters into half with-wise.		
6643	6700	tap	knife	pomegranate						Cut into large chunks.															
6702	6905	take apart	knife	arils,pomegranate	,bowl			Cut the pomegranate halves into quarters and then again to make eighths. 																	
6905	7040	take apart	hand	pomegranate																					
7040	7169	take apart	knife	arils,pomegranate	,bowl								She then takes each piece and starts to take the pits out of the pieces she cut up.												
7245	7383	tap	knife	pomegranate																					
7384	7494	take apart	hand	pomegranate																					
7494	7583	take apart	hand	pomegranate																					
7600	7738	take apart	knife	arils,pomegranate	,bowl																				
7738	7803	take apart	hand	pomegranate																					
7815	8520	take apart	knife	arils,pomegranate	,bowl																				
8561	8589	take apart	hand	pomegranate																					
8606	8656	take apart	hand	pomegranate																					
8671	9086	take apart	knife	arils,pomegranate	,bowl																				
9108	9151	take apart	knife	arils,pomegranate	,bowl			Hold one of the eighths over the bowl and using the knife tap the piece on the back to dislodge the seeds and pry them out with the knife from the front.																The woman removes the seeds from the first piece.	
9274	9473	take apart	hand	pomegranate																					
9580	9964	take apart	knife	arils,pomegranate	,bowl								She then proceeds to do this to all the pieces of pomegranate.						She selects the edible parts of it.						
10096	10556	take apart	knife	arils,pomegranate	,bowl												The woman removes the usable fruit out of the inside of the pomegranate.								
10642	10707	move	hand	pomegranate	bowl,plate																				
10720	10838	take apart	hand	pomegranate																					
10884	11268	take apart	knife	arils,pomegranate	,bowl																				
11408	11488	take apart	hand	pomegranate																She selects the good parts of the pomegranate.		She separates the good parts of the pomegranate.			
11567	11915	take apart	knife	arils,pomegranate	,bowl												The woman removes the unusable pieces from the bowl.								
11940	12011	take apart	hand	pomegranate																					
12044	12413	take apart	knife	arils,pomegranate	,bowl														She cleans the cutting board.. She discards the rest of the pomegranate.						
12444	12532	take apart	hand	pomegranate																					
12559	12743	take apart	hand	arils,pomegranate	,bowl	The person throws the skin in the garbage and rinses off the plate. . The person cleans the knives and the cutting board and returns all of them to the drawer.. The person uses the spoon to remove any remaining skin from the bowl and place it on the plate with the rest of the skin.. The person rinses her hands in the sink and takes a spoon out of the drawer.. Using her hands and a knife, the person seperates the fruit from the skin.. The person cuts two of those pieces in half and shakes the juices into the bowl. . The person cuts each half in half again and shakes the excess juice into the bowl.. The person cuts the pomegranate over the bowl and shakes out the juices into the bowl.. The person cuts the ends off of the pomegranate.. The person rolls up her sleeves and removes a cutting board and two knives from the drawer.. The person rinses the pomegranate in the bowl over the sink.. The person removes a Pomegranate from the fridge as well as a bowl and plate from the cabinet.. The person transfers the fruit from the bowl to the plate using the spoon. 													She cleans the plate and puts the pomegranate on it.	She puts the pomegranate on a plate.					
12818	13165	take apart	knife	arils,pomegranate	,bowl	The person cleans the bowl and returns it to the cabinet. 													She cleans the bowl and puts it away.						
13369	13463	take apart	hand	pomegranate																					
13505	13754	take apart	hand	arils,pomegranate	,bowl	The person cleans off the counter, puts the towel away and rinses her hands.											The woman washes up.		She wipes down the counter.	She cleans up.		She cleans up and puts the pomegranate on a plate.			
13754	13825	take apart	hand	pomegranate																					
13825	14050	take apart	hand	arils,pomegranate	,bowl								she then uses her hands to get at anything she missed with the knife.												
14148	14248	take apart	hand	pomegranate																					
14263	14350	take apart	hand	pomegranate																					
14446	15132	take apart	knife	arils,pomegranate	,bowl																				
15132	15297	take apart	hand	arils,pomegranate	,bowl																			The woman continues to cut out the fruit of the rest of the pieces.	
15419	15476	take apart	hand	pomegranate																					
15546	15729	take apart	knife	arils,pomegranate	,bowl																				
15759	15868	take apart	hand	pomegranate																					
15966	16145	take apart	knife	arils,pomegranate	,bowl																				
16190	16492	take apart	knife	arils,pomegranate	,bowl																				
16632	16690	take apart	knife	arils,pomegranate	,bowl																				
16714	16909	take apart	knife	arils,pomegranate	,bowl																				
16974	17121	take apart	knife	arils,pomegranate	,bowl																				
17238	17339	take apart	hand	pomegranate																					
17369	17447	take apart	hand	arils,pomegranate	,bowl																				
17493	17816	take apart	knife	arils,pomegranate	,bowl																				
17875	17937	take apart	hand	pomegranate	,plate																				
17937	17965	take apart	hand	pomegranate	,plate																				
18023	18315	take apart	knife	arils,pomegranate	,bowl																				
18346	18698	take apart	knife	arils,pomegranate	,bowl																				
18719	18757	take apart	hand	pomegranate																					
18801	18926	take apart	hand	arils,pomegranate	,bowl																				
19019	19094	take apart	hand	pomegranate																					
19176	19586	take apart	knife	arils,pomegranate	,bowl																				
19664	19700	cut	knife	pomegranate																					
19736	19834	take apart	hand	pomegranate																					
19896	20305	take apart	knife	arils,pomegranate	,bowl		The woman removes the usable fruit from the inner sides of the pomegranate.							The woman removes the usable fruit.										She finishes removing the fruit.	
20421	20563	wash	hand	hand					She gets the good parts out of the pomegranate. 							The person removes the seeds from the pomegranate sections into the bowl.		She removes the good parts of the pomegranate.					The person takes each pomegranate piece and hold it over the bowl and taps out the pomegranate seeds and picks the rest off with the knife.		
20563	20584	shake	hand	hand							She gets the good parts of the pomegranate.					The person washes her hands.									
20596	20667	shake	hand	hand																					
20684	20826	move	hand	plate	counter			Repeat this process for the remaining pomegranate, remove debris from the seeds as you go.																	
20830	20868	move	hand	bowl,plate	counter					Using knife and fingers, dislodge seeds over bowl.															
20888	21050	take out	hand	spoon	,drawer																				
21083	21158	move	hand	pomegranate	bowl,plate																				
21191	21238	move	spoon	pomegranate	bowl,plate																				
21272	21382	stir	spoon	arils	bowl																				
21386	21435	move	spoon	pomegranate	bowl,plate																				
21458	21573	move	spoon	pomegranate	bowl,plate																				
21598	21638	move	spoon	pomegranate	bowl,plate																				
21679	21736	move	spoon	pomegranate	bowl,plate																				
21747	21840	stir	spoon	arils	bowl																				
21840	21862	shake	hand	spoon																					
21940	21992	take apart	hand	arils,pomegranate	,bowl																				
22002	22045	move	hand	pomegranate	bowl,plate																				
22116	22189	move	spoon	pomegranate	bowl,plate								After she is done cutting what she can away from the pomegranate, she then washes her hands, then using a spoon, she tries to get as much of the peel out of the bowl.												
22192	22239	move	hand	pomegranate	bowl,plate																				
22251	22327	stir	spoon	arils	bowl																				
22335	22371	move	hand	pomegranate	bowl,plate																				
22374	22423	move	hand	pomegranate	bowl,plate																				
22427	22470	move	hand	pomegranate	bowl,plate																				
22533	22594	move	hand	pomegranate	bowl,plate																				
22668	22753	move	hand	pomegranate	bowl,plate																				
22787	22863	stir	spoon	arils	bowl																				
22882	22926	move	spoon	pomegranate	bowl,plate																				
22944	23042	stir	spoon	arils	bowl		She removes the unwanted pieces from the bowl.	Use a spoon to remove any remaining debris that fell into the bowl of seeds.	She removes the bad parts from the "good" bowl. 			She separates the edible parts of the pomegranate from the inedible parts.		The woman removes the unusable parts from the bowl.	She separates the edible from the inedible parts of the pomegranate. 	The person uses a spoon to remove the unwanted parts of the pomegranate that have fallen into the bowl.		She finishes separating the good bits from the bad.						The woman takes out unwanted pieces from the bowl.	
