204	487	take out	hand	peeler	counter,drawer				She took out peeler				The person selects a peeler.	She gets a peeler.	The person gets out a vegetable peeler.	Took out tool		She took out peeler		The person got out a vegetable peeler.		The person gets out a vegetable peeler.
522	753	take out	hand	mango	fridge		Get your peeler ready.. Get your mango from the fridge.		She took out mango				A mango is removed from the refrigerator.		The person gets out a mango.	She took out mango	the person gets a peeler	She took out mango		The person got out a mango.		The person gets out a mango.
770	1076	take out	hand	plate	counter,cupboard			She gets a mango, peeler, and two plates. 	She took out two plates		She gets a peeler, a mango, and two plates. 		Two plates are removed for the mango.	She gets two plates and a mango.	The person gets out two plates.			She took out plates	She opens the drawer and gets out a peeler, gets a mango from the refrigerator, gets two plates from the cabinet, and places a mango on one of the plates.	The person got out two plates.		The person gets out two plates.
1113	1157	close	hand		cupboard	The woman sets up her station by grabbing a peeler, some plates and a mango.. The woman tries to use the peeler on the mango but it doesn't work.	Get two plates on place on counter, placing the mango on one plate.					She gets out a peeler from the drawer, a mango from the refrigerator, and two plates from the cabinet.			The person tries to peel the mango with the peeler.	She took out dishes	the person gets 2 plates				A woman enters kitchen, removes a peeler from the drawer, a mango from the refrigerator, two plates from the cupboard and places them all on the counter top.	The person tries to peel the mango with the vegetable peeler.
1385	1548	take out	hand	knife	drawer		Put the peeler down and grab a knife.		She took out knife	The person takes out two plates, a mango, and a paring knife.		She attempts to use the peeler on the mango and takes out a knife.	The person selects a knife.		The person gets out a knife.	She took out knife	the person gets a sharp knife	She took out knife		The person got out a pairing knife.	The woman begins to peel the mango with the peeler, stops and removes a knife from the drawer and opts to use the knife to peel the mango instead.	The person gets out a knife.
1573	2763	peel	knife	mango																		
2832	3613	peel	knife	mango		With a knife, the woman peels of the out skin of the mango.	Using your knife, remove all the peel from the mango.	She gets a knife and peels the mango. 	She peeled mango	The person uses the knife to peel the skin and puts the skin on one plate.	She gets a knife and peels the mango. 	She uses the knife to cut off the peel of the mango.	The mango is peeled over a plate.	She gets a knife and peels the mango.	The person peels the mango.	She peeled mango	the person peels off the skin of the Mango with the knife	She peeled mango	She attempts to use the peeler, but it seems difficult, so she gets out a knife and uses it to cut the skin off of the mango.	The person peeled the mango with the knife.	The woman peels the mango.	
3658	4146	cut	knife	mango	plate																	The person peels the mango.
4196	4577	cut	knife	mango	plate																	
4577	4729	cut	knife	mango	plate													She sliced mango				
