224	335	take out	hand	measuring pitcher	,drawer		He took out cup	The man walks to the counter.  He opens a drawer, removes a measuring cup and closes the drawer.	The person takes a large measuring glass from the drawer.					The person takes out a measuring glass from the drawer.	He took out cup	grabs a pitcher of a drawer	He took out bowl		He took out cup	
408	431	temperature test	finger	water																
431	610	fill	faucet	water	,measuring pitcher															
639	736	fill	faucet	water	,measuring pitcher	The person takes a measuring glass from the drawer and fills it with water.	He put water in cup	He brings the measuring cup to the sink, turns on the water and fills the measuring cup.. He turns off the water and sets the measuring cup on the counter.	The person fills the measuring glass with water.	He puts water in a pyrex.	The person retrieves a clear glass measuring cup from the drawer and at the sink fills the measuring cup about 3/4 full with tap water.	Take out a measuring cup and fill it most of the way up with water.	He opens the drawer, takes out a measuring cup and fills it with water.. He places the measuring cup filled with water on the counter then walks to the fridge and opens it.	The person fills the measuring glass with water from the faucet.	He put water in cup	fills the pitcher with hot water	He put water in bowl	The man takes out a measuring cup and fills it with water.	He put water in cup	the person gets a bowl and fills it with water
793	1035	take out	hand	egg	fridge,measuring pitcher		He took out egg	He goes to the fridge, opens the door and removes one egg from the fridge.  He closes the fridge.. He brings the egg to the counter and places it in the measuring cup.	The person takes an egg from the fridge.		The person retrieves one brown egg from the refrigerator.		He takes out an egg, then closes the fridge.	The person procures an egg from the fridge.		grabs an egg from the refrigerator and place it in the jar	He took out egg. He dipped egg in water		He took out egg. He put egg in water	
1068	1198	move	hand	egg	counter,measuring pitcher	The person takes an egg from the fridge and dips it in the water.			The person dips the egg in the water in the glass.		The person sets the egg in the measuring cup of water letting it bounce once to the bottom of the measuring cup and removing the egg almost immediately.	Take out an egg and drop it in the water to see if it floats, then take it out.	He places the egg in the meauring cup filled with water, then takes the egg out of the measuring cup and places it on the counter.	The person dips the egg in the water in the measuring glass.	He took out egg			He takes out an egg and rinses it in the measuring cup.		the person dips the egg in the water
1242	1286	dry	towel	hand				He removes the egg, sets it on the counter and dries his hands.					He walks over to a rag then dries his hands on it.							
1298	1541	take out	hand	cup	counter,cupboard	The person takes a pair of cups from the cupboard.	He took out two cups. He cracked egg	The man goes to the cupboard, opens the door and removes two small cups.  He closes the cupboard door.. He sets the two cups on the counter.. He picks up the egg, cracks it open on a cup.  Slowly breaks it apart.	The person takes a pair of cups from the cupboard.. The person cracks the egg against the rim against one of the cups.	He rinses the egg and gets two cups. 	After setting the egg on the counter, the person turns and retrieves two cups from the cupboard behind him setting them on the counter as well.. The person carefully cracks the egg on the rim of the first cup, separating the shell into two halves.		He opens the cupboard and takes out two cups then closes the cupboard.. He walks to the counter and places the two cups on the counter.	The person takes a pair of cups from the cupboard.	He took out two cups	remove the egg from the water	He took out two cups. He cracked egg	He takes out two cups.	He took out two cups. He cracked egg	the person gets 2 cups and cracks the egg over one of them
1586	2549	open egg	hand	egg white	cup	The person cracks the egg on the rim of one glass and pours the egg white into it.		He removes the egg white from the egg into one cup by moving the yoke from shell half to shell half.	The person drains the egg white into on cup and pours the egg yolk into the second.	He cracks the egg over one cup. 	The person slowly moves the egg yolk from shell half to shell half several times letting the white of the egg drain into the first cup.		He cracks open the egg on the edge of the cup, then seperates the egg yoke from the egg white.	The person cracks the egg on the rim of one cup and then drains the egg white into it.	He cracked egg				He drained white into cup	
2550	2582	add	eggshell	yolk	cup,eggshell	The person dumps the yolk into the second glass.	He drained white. He put yolk in other cup	He puts the yoke in the other small cup.		He tosses the yolk between the halves of the egg until the whites have went into the cup.. He puts the yolk in the other cup. 		Take out two teacups and crack the egg over one of them, holding the shell halves close together to allow the white to run in but keeping the yolk out.. Then drop the separated yolk into the second teacup.	He places the egg yoke in the other cup.	The person dumps the egg yolk into the second cup.	He separated egg		He separated egg	He cracks the egg, placing the white in one cup and the yolk in the other.	He put yolk in other cup	the person passes the yolk of the egg between the 2 cracked shells until the egg white dumps into the 1st cup
2631	2726	throw in garbage	hand	eggshell		The person throws the shell into the wastebin.		He opens the garbage and discards the shell. Closes the garbage door.	The person throws the egg shells into the wastebin.	He discards the shell.			He takes the egg shells and throws them in the garbage. 		He threw out shell		He threw out shell	He disposes of the eggshell.	He threw away egg shell	
2730	2753	shake	hand	hand			He threw away shell	Straightens the two cups.			The person puts the egg yolk into the second cup and discards the egg shell halves in the garbage.	Discard the empty eggshells.		The person throws the shells into the wastebin.		take two cups, egg shell breaks and separates content in the cups				the person puts the yolk in the 2nd cup
