112	289	take out	hand	onion	counter,cupboard	The woman grabs an onion out of the pantry.	The person selects an onion from the cabinet.	The person gets out an onion.	She gets an onion.	Get your onion and place on counter.		She gets an onion. 	She took out onion	The person takes an onion from the pantry.		Retrieve an onion from the cupboard.. Place the onion on the counter.	An onion is removed from a cabinet.	The person gets out an onion.		She took out onion		The person retrieves an onion from the pantry.	She took out onion	She puts an onion on the counter. 
289	386	take out	hand	cutting board	counter,drawer									The person takes out a cutting board from the drawer. 			The person removes a cutting board. 	The person gets out a wooden plate.			The person gets and onion out of the cupboard and a places it on the counter with a cutting board.	The person takes out a cutting board.	She took out cutting board	
386	419	close	hand		drawer		The woman places a cutting board on the counter.	The person gets out a wooden plate.					She took out cutting board							She took out cutting board				
424	586	take out	hand	knife	counter,drawer		The woman selects a small paring knife and a medium knife.	The person gets out two knives.	She gets the utensils needed.		She gets a onion, cutting board and knife. 	She gets a cutting board and a knife. 	She took out knife	The person takes out a pair of knives from the drawer.		Retrieve a cutting board and knife.	The person selects two knives.	The person gets out two knives.		She took out knife	The person selects a large knife and a small knife from the drawer.	The person takes two knives from out of a drawer.	She took out two knives	She gets a knife and cutting board. 
608	743	take out	hand	bowl	counter,drawer	The woman grabs a cutting board, 2 knives and a bowl.				Get a cutting board, two knives and a bowl.			She took out bowl	The person takes out a metal bowl from the drawer.			A bowl is removed.	The person gets out a bowl.		She took out bowl	The person gets a small mixing bowl out of the drawer and places it on the counter.		She took out bowl	
743	779	move	hand	bowl	counter		The woman puts a bowl on the counter.	The person gets out a bowl.								Have a stainless steel bowl ready.			She takes out an onion from the refrigerator and a knife, a wooden circular cutting board, and a metal bowl from the drawers. 		The person cuts off the top end of the onion.	The person takes a bowl from the drawer.		
834	3508	peel	knife	onion																	The person peels the onion, cutting off the skin.			
3508	3550	cut	knife	onion		The woman peels the onion.	The person peels the onion with the paring knife.	The person peels the onion.	She peels the onion.	Use a knife to peel the onion over the bowl.		She peels the onion. 	She peeled onion	The person uses the smaller knife to peel the onion into the bowl.		Use the knife to peel the outer layer of skin from the onion into the bowl.	The onion is peeled over the bowl.	The person peels the onion.	She uses a knife to remove the outside covering of the onion.	She peeled onion		The person peels the onion with a paring knife.	She peeled onion	
3618	3728	wash	hand	onion												Gently rinse the onion.				She washed onion				
3728	3751	shake	hand	onion		The woman washes off the onion.	The person rinses off the onion.	The person rinses the onion.			She peels the onion and rinses it.		She washed onion	The person washes the onion in the sink.			The onion is rinsed.	The person rinses the onion.	She washes and rubs the onion under the faucet,			The person washes the onion under the faucet.		She peels and rinses the onion. 
3751	3801	move	hand	onion	,cutting board				She rinses the onion. 	Rinse the onion off in the sink.													She washed onion	
3804	3876	cut	knife	onion	cutting board		The person slices the onion in half.			Cut onion in half.	She chops it in half. 					Place the onion on the cutting board and slice it in half, down the middle.	The onion is cut in half.	The person cuts the onion in half.	She puts the onion on the cutting board and takes the knife to cut it in half.	She cut onion in half		The person halves the onion with a large knife.	She chopped onion in half	
3960	4029	wash	hand	knife			The person rinses off the paring knife.							The person uses the large knife to cut the onion into halves and then rinses the smaller knife in the sink.	The person uses the large knife to cut the onion into halves and then rinses the smaller knife in the sink.. The person washes the onion in the sink.. The person uses the smaller knife to peel the onion into the bowl.. The person takes out a metal bowl from the drawer.. The person takes out a cutting board from the drawer. . The person takes out a pair of knives from the drawer.. The person takes an onion from the pantry.					She washed knife	The person slices the onion in half.			
4050	4315	slice	knife	onion	cutting board		The person cuts one half of the onion length-wise with the paring knife.			Rinse knife and slice onion.														
4340	4767	chop	knife	onion	cutting board																			
4767	4806	scratch off	hand	onion	cutting board,knife		The woman uses the larger knife to further dice the onion.																	
4833	4883	gather	knife	onion	cutting board					Use other knife to cut onion in pieces.														
4916	5127	slice	knife	onion	cutting board		The person uses the paring knife to slice the second half of the onion lengthwise.																	
5193	5623	chop	knife	onion	cutting board							She chops the onions. 												
5623	5655	scratch off	hand	onion	cutting board,knife						She minces each half.						The onion is chopped.	The person dices each half of the onion.	She washes the knife and then cuts the two sides of the onion horizontally and vertically into fine pieces.					
5669	5691	scratch off	hand	onion	cutting board,knife	The woman chops the onion into fine, small pieces.	The person uses the larger knife to dice the second half of the onion.	The person chops up the onion.	She chops the onion.	Repeat the steps for the other half of the onion.			She diced onion	The person alternates using each knife to slice and dice the onion halves.	The person alternates using each knife to slice and dice the onion halves.					She diced onion	The person dices the onion halves.	The person slices and dices the onion on the cutting board.	She diced onion	She chops the onion. 
5753	5940	wash	hand	knife																				
5940	5956	shake	hand	knife		The woman rinses her hands and knives off.	The person rinses off both knives.	The person rinses the knife.	She cleans up.			She cleans the knife. 		The person washes both knives in the sink.	The person washes both knives in the sink.	Wash the knife.	The knives are washed.	The person rinses the knives.	She washes the silverware and puts them to the side.	She washed knife	The person rinses the large knife.	The person rinses the knives in the sink.		
6065	6133	throw in garbage	bowl	peel		The woman properly discards the peels.	The video ends.	The person throws away the peel.		Rinse your knives and discard peels in the trash.	She cleans up.			The person throws the peels into the wastebin.	The person throws the peels into the wastebin.	Dispose of the onion peel.	The person discarded the scraps.	The person throws away the onion peel.	She goes to the trash can to throw away the outside of the onion which she removed.			The person prepares to put the peels in the bowl into the trashbin.		She cleans up. 
