1	s24-d34_14_5	She peeled ginger	ginger	1226	2291	s33-d54_18_3	The woman peels the mango.	mango	1573	3613	3	4	3	3.3333
2	s24-d34_16_7	The piece is peeled.	ginger	1489	2291	s36-d27_5_4	He peeled the Onion	onion	925	1107	3	4	3	3.3333
3	s24-d34_12_5	She peeled the ginger	ginger	1226	2291	s22-d46_16_11	She peeled skin off pineapple	pineapple	4702	9315	3	5	3	3.6667
4	s24-d34_3_6	The person peels the ginger.	ginger	1489	2291	s34-d28_3_3	He peels the orange.	orange	1537	2613	3	4	3	3.3333
5	s24-d34_16_7	The piece is peeled.	ginger	1489	2291	s24-d23_5_3	The person peels the carrots over the sink.	carrot	1405	2454	3	5	4	4.0000
6	s24-d34_6_5	She peels that chunk of ginger.	ginger	1226	2291	s37-d21_13_8	He peels one half of the cucumber.	cucumber	3064	3931	3	4	3	3.3333
7	s24-d34_4_6	The person peels the ginger.	ginger	1489	2291	s36-d31_14_11	The man peels the garlic again	garlic	4538	5355	2	3	3	2.6667
8	s24-d34_14_5	She peeled ginger	ginger	1226	2291	s24-d53_16_5	The person peels the avocado.	avocado	1434	2934	3	4	4	3.6667
9	s23-d54_5_3	He peels the mango.	mango	1412	4110	s36-d27_14_3	He peels the skin off the onion.	onion	925	1107	2	4	4	3.3333
10	s33-d54_4_5	She peeled mango	mango	1573	3613	s22-d46_16_11	She peeled skin off pineapple	pineapple	4702	9315	2	4	3	3.0000
11	s33-d54_12_5	She peeled mango	mango	1573	3613	s13-d28_6_4	The man then peels the orange with a knife.	orange	2271	2950	5	4	3	4.0000
12	s13-d54_14_5	He peeled mango	mango	2309	3349	s24-d23_18_3	She peels the carrots.	carrot	1405	2454	2	4	3	3.0000
13	s23-d54_13_10	The person uses the peeler to peel the mango.	mango	2909	4110	s37-d21_8_9	He uses the peeler to peel the cucumber halve.	cucumber	3064	3931	5	4	3	4.0000
14	s33-d54_9_5	The mango is peeled over a plate.	mango	1573	3613	s13-d31_9_6	He peeled garlic	garlic	1887	3384	2	3	3	2.6667
15	s23-d54_16_6	He peels the mango	mango	2909	4110	s22-d53_16_6	The person peeled the skin off the avocado.	avocado	2100	4595	5	4	4	4.3333
16	s22-d46_16_11	She peeled skin off pineapple	pineapple	4702	9315	s28-d27_10_3	person peels the outside of the onion	onion	1071	2050	2	4	3	3.0000
17	s14-d46_14_12	She cut skin off of pineapple	pineapple	3023	3523	s21-d28_3_5	She cuts away the last bits of rind.	orange	2211	2581	3	3	4	3.3333
18	s22-d46_16_11	She peeled skin off pineapple	pineapple	4702	9315	s26-d23_13_5	He peeled the entire carrot with the vegetable peeler.	carrot	1491	2164	2	3	3	2.6667
19	s22-d46_16_11	She peeled skin off pineapple	pineapple	4702	9315	s37-d21_13_8	He peels one half of the cucumber.	cucumber	3064	3931	3	3	3	3.0000
