s23-d46_1_1	The man takes out a cutting knife and a cutting board.	s23-d46	198	387	pineapple	434
s23-d46_1_2	He takes out a plate and pineapple from the cupboard.	s23-d46	440	851	pineapple	854
s23-d46_1_3	He cuts the stem off of the pineapple.	s23-d46	940	1020	pineapple	1027
s23-d46_1_4	He cuts the pineapple down the middle on the cutting board.	s23-d46	1041	1327	pineapple	1315
s23-d46_1_5	He cuts one side of the pineapple in half again, then removes the skin with the cutting knife.	s23-d46	1430	2767	pineapple	2770
s23-d46_1_6	He repeats with the other part of the pineapple.	s23-d46	2919	3816	pineapple	3830
s23-d46_1_7	He repeats with the other half of the pineapple.	s23-d46	3828	5514	pineapple	5502
s23-d46_1_8	He removes peels from the cutting board and washes cutting board under sink water.	s23-d46	5514	6208	pineapple	6280
s23-d46_1_9	He cuts the remaining chunks into slices and puts them on the plate.	s23-d46	6354	10266	pineapple	10259
s23-d46_2_1	He gets out a cutting board and a knife.	s23-d46	198	387	pineapple	400
s23-d46_2_2	He gets a plate.	s23-d46	440	589	pineapple	594
s23-d46_2_3	He retrieves a pineapple.	s23-d46	653	851	pineapple	870
s23-d46_2_4	He cuts the top off and splits in it half.	s23-d46	940	1327	pineapple	1360
s23-d46_2_5	He removes the outside of each section of pineapple.	s23-d46	1430	5870	pineapple	5922
s23-d46_2_6	He chops the pineapple.	s23-d46	5979	9243	pineapple	9352
s23-d46_2_7	He puts the pineapple on the plate.	s23-d46	9378	10266	pineapple	10274
s23-d46_3_1	The man gets a cutting board, a knife, and a plate.	s23-d46	198	589	pineapple	604
s23-d46_3_2	The man slices the top off.	s23-d46	653	1020	pineapple	1034
s23-d46_3_3	The man slices it in half.	s23-d46	1041	1327	pineapple	1372
s23-d46_3_4	He removes the outer skin.	s23-d46	1430	5254	pineapple	5256
s23-d46_3_5	The man slices the pineapple pieces into smaller ones.	s23-d46	5304	9243	pineapple	9278
s23-d46_3_6	The man places the pineapple onto the plate and washes up.	s23-d46	10339	10764	pineapple	10816
s23-d46_4_1	He took out cutting board	s23-d46	198	293	pineapple	286
s23-d46_4_2	He took out knife	313	387
s23-d46_4_3	He took out plate	313	387
s23-d46_4_4	He took out pineapple	s23-d46	440	851	pineapple	786
s23-d46_4_5	He cut off top of pineapple	s23-d46	940	1020	pineapple	1050
s23-d46_4_6	He cut pineapple in half	s23-d46	1041	1327	pineapple	1326
s23-d46_4_7	He peeled one piece of pineapple	s23-d46	1430	2767	pineapple	2914
s23-d46_4_8	He peeled second piece of pineapple	s23-d46	2919	3816	pineapple	3810
